,temperature_2m,dewpoint_temperature_2m,skin_temperature,surface_net_thermal_radiation_sum
2025-11-29,292.25116475423175,283.0462277730306,292.9525712331136,-7385114
2025-11-30,290.02609316507977,281.23097546895343,290.71935717264813,-8179468
2025-12-01,290.67919794718426,284.51028124491376,291.68848609924316,-6777516
2025-12-02,290.9156951904297,284.47031847635907,291.70165888468426,-6697218
2025-12-03,291.60304260253906,283.1293315887451,292.3378225962321,-7389100
2025-12-04,292.3919620513916,284.17878341674805,293.40940920511883,-7544528
2025-12-05,291.59431648254395,280.6798451741536,291.8314666748047,-8268734
2025-12-06,288.9602298736572,277.4811655680339,289.1269391377767,-8322992
2025-12-07,288.85796038309735,276.71866162618,289.20468203226727,-8068922
2025-12-08,289.5361022949219,280.2099666595459,289.9531993865967,-7298694
2025-12-09,288.90689023335773,283.45419692993164,289.35552342732746,-5772026
2025-12-10,289.36190859476727,284.00443331400555,289.5441252390544,-5945396
2025-12-11,290.3302510579427,283.88439178466797,290.91171010335285,-5093914
2025-12-12,289.84573554992676,284.1666539510091,290.0167096455892,-5095010
2025-12-13,290.5038693745931,283.9958667755127,291.44718678792316,-5345996
2025-12-14,290.0300038655599,284.7004000345866,291.05168469746906,-5764064
2025-12-15,289.5836073557536,283.14413261413574,289.9804344177246,-5770566
2025-12-16,289.47236251831055,281.6881872812907,289.7356707255046,-5393230
2025-12-17,288.4581979115804,280.8498026529948,288.6622956593831,-6177016
2025-12-18,288.0450299580892,280.14956283569336,288.4254690806071,-7683472
2025-12-19,288.3056926727295,282.1548449198405,288.5541928609212,-7536660
2025-12-20,288.482567469279,279.59306653340656,289.1541550954183,-8221200
2025-12-21,289.0414810180664,275.8937619527181,289.1496950785319,-8351042
2025-12-22,288.146790822347,274.3308957417806,288.48908678690594,-8767314
2025-12-23,288.00312487284344,278.0881341298421,288.4547831217448,-7858858
2025-12-24,288.1232967376709,279.79174041748047,288.99173164367676,-7515748
2025-12-25,288.8923110961914,283.82674980163574,289.5182813008626,-6967158
2025-12-26,289.0099328358968,283.62343406677246,289.6469618479411,-7100282
2025-12-27,288.72450319925946,282.8738848368327,289.01224517822266,-6168902
2025-12-28,288.12172571818036,280.89145851135254,288.5455487569173,-6737532
2025-12-29,288.06833839416504,282.4480787913005,287.96386464436847,-5500371
2025-12-30,288.10378710428876,279.91766421000165,288.4019145965576,-5959097
2025-12-31,288.7438557942708,276.22440910339355,288.94788614908856,-8373274
2026-01-01,288.0339291890462,279.9278310139974,288.5067501068115,-6189932
2026-01-02,286.8129889170329,280.0004711151123,287.3882191975911,-5780416
2026-01-03,286.4376411437988,277.94910939534503,287.02337137858075,-8048090
2026-01-04,287.2714614868164,280.15631612141925,287.2749767303467,-7979528
2026-01-05,286.6529178619385,277.5185839335124,287.030455271403,-8678834
2026-01-06,286.2825679779053,274.7708962758382,286.6261450449626,-8337738
2026-01-07,288.9741961161296,277.78817621866864,288.9828472137451,-8302178
2026-01-08,290.2333132425944,279.01223945617676,290.21192932128906,-7424376
2026-01-09,288.9402885437012,281.7830645243327,289.19675636291504,-6012506
2026-01-10,288.52643458048504,280.73188400268555,288.98487027486163,-6749384
2026-01-11,287.8261597951253,278.07988421122235,288.3889300028483,-8432748
2026-01-12,287.1824188232422,276.4984486897786,287.5580514272054,-7788160
2026-01-13,286.8773670196533,278.08157285054523,287.2552655537923,-4944092
2026-01-14,287.9955234527588,278.9818464914958,288.3996810913086,-4158290
2026-01-15,287.9754098256429,281.53909428914386,288.7892888387044,-4622580
2026-01-16,287.3974259694417,280.98282686869305,288.2845516204834,-5976918
2026-01-17,287.6362482706706,281.4714101155599,288.1775538126628,-5505434
2026-01-18,287.77088356018066,282.61308097839355,288.1981786092122,-6060270
